S.No,Date,Market,Strategy,Symbol,Signal_Type,Direction,Strike,Lot_Size,Entry_Timestamp,Exit_Timestamp,Entry_Price,Exit_Price,Total_PnL,Status
1,2026-02-16,COMMODITY,CPR,SILVERM,BUY_PE_CPR,BUY,244500,5x5,2026-02-16T18:39:07.754715,-- OPEN --,9156.78,9156.78,0,OPEN
2,2026-02-16,COMMODITY,CPR,CRUDEOILM,BUY_CE_CPR,BUY,5700,10x10,2026-02-16T18:39:07.757329,-- OPEN --,182.57,182.57,0,OPEN
3,2026-02-17,COMMODITY,CPR,GOLDM,BUY_PE_CPR,BUY,151000,100x10,2026-02-17T15:38:18.711360,-- OPEN --,5241.78,5241.78,0,OPEN
4,2026-02-17,COMMODITY,CPR,SILVERM,BUY_PE_CPR,BUY,236000,5x5,2026-02-17T15:38:18.711360,-- OPEN --,8704.87,8704.87,0,OPEN
5,2026-02-17,COMMODITY,CPR,CRUDEOILM,BUY_CE_CPR,BUY,5750,10x10,2026-02-17T15:38:18.711360,-- OPEN --,175.8,175.8,0,OPEN
