S.No,Date,Strategy,Symbol,Signal_Type,Direction,Strike,Lot_Size,Entry_Time,Exit_Time,Entry_Price,Exit_Price,Capital_Used,PnL,PnL_Pct,Exit_Reason,Delta,IV,Status
142,2026-02-23,Ghost Zone,BANKNIFTY,BUY_PE_GTZ,BUY,61150,30,2026-02-23T10:48:07.170253,-- OPEN --,460.44,350.88,13813.2,-3341.01,-24.19,OPEN,-0.4795,15.0,OPEN
143,2026-02-23,CPR,SENSEX,BUY_CE_CPR,BUY,83100,20,2026-02-23T10:48:10.723604,-- OPEN --,654.04,703.26,13080.8,930.74,7.12,OPEN,0.5221,15.0,OPEN
144,2026-02-23,Ghost Zone,SENSEX,BUY_CE_GTZ,BUY,83100,20,2026-02-23T10:48:16.619819,-- OPEN --,654.04,701.6,13080.8,897.47,6.86,OPEN,0.5221,15.0,OPEN
145,2026-02-23,CPR,BANKNIFTY,BUY_CE_CPR,BUY,61200,30,2026-02-23T10:54:07.310652,-- OPEN --,521.99,491.98,15659.7,-955.39,-6.1,OPEN,0.5248,15.0,OPEN
146,2026-02-23,Ghost Zone,BANKNIFTY,BUY_PE_GTZ,BUY,61200,30,2026-02-23T10:54:08.985981,-- OPEN --,458.01,371.61,13740.3,-2646.1,-19.26,OPEN,-0.4752,15.0,OPEN
147,2026-02-23,CPR,BANKNIFTY,BUY_CE_CPR,BUY,61100,30,2026-02-23T12:26:56.068928,-- OPEN --,508.36,547.65,15250.8,1123.84,7.37,OPEN,0.5211,15.0,OPEN
148,2026-02-23,CPR,BANKNIFTY,BUY_CE_CPR,BUY,61050,30,2026-02-23T12:32:32.057787,-- OPEN --,509.68,578.17,15290.4,1999.81,13.08,OPEN,0.5237,15.0,OPEN
149,2026-02-23,Ghost Zone,BANKNIFTY,BUY_PE_GTZ,BUY,61050,30,2026-02-23T12:32:33.500304,-- OPEN --,450.21,307.4,13506.3,-4338.19,-32.12,OPEN,-0.4763,15.0,OPEN
150,2026-02-23,Ghost Zone,BANKNIFTY,BUY_PE_GTZ,BUY,61100,30,2026-02-23T12:38:08.754077,-- OPEN --,459.89,325.76,13796.7,-4077.91,-29.56,OPEN,-0.4815,15.0,OPEN
151,2026-02-23,CPR,NIFTY,BUY_CE_CPR,BUY,25600,65,2026-02-23T14:04:01.180511,-- OPEN --,210.96,253.14,13712.4,2687.64,19.6,OPEN,0.5313,15.0,OPEN
152,2026-02-23,Ghost Zone,NIFTY,BUY_CE_GTZ,BUY,25600,65,2026-02-23T14:04:02.571467,-- OPEN --,210.96,251.82,13712.4,2601.62,18.97,OPEN,0.5313,15.0,OPEN
153,2026-02-23,CPR,SENSEX,BUY_CE_CPR,BUY,83000,20,2026-02-23T14:04:05.572130,-- OPEN --,641.38,760.55,12827.6,2329.77,18.16,OPEN,0.5175,15.0,OPEN
154,2026-02-23,Ghost Zone,SENSEX,BUY_CE_GTZ,BUY,83000,20,2026-02-23T14:04:07.052422,-- OPEN --,641.38,759.73,12827.6,2313.29,18.03,OPEN,0.5175,15.0,OPEN
155,2026-02-23,Survivor,BANKNIFTY,SELL_PE,SELL,60720.18857142857,30,2026-02-23T15:27:20.434843,-- OPEN --,248.06,248.06,7441.8,0,0.0,OPEN,-0.309,15.0,OPEN
156,2026-02-23,Survivor,SENSEX,SELL_PE,SELL,82563.16714285716,20,2026-02-23T15:27:22.312925,-- OPEN --,299.82,299.82,5996.4,0,0.0,OPEN,-0.2989,15.0,OPEN
