S.No,Symbol,Strategy,Entry Time,Exit Time,Per lot,No fo lots,Entry,Target,SL,Exit,Amount Invested,Amount After Close,PnL,Balance,Status,PnL %,Spot Price,Delta,Exit Reason
15,BANKNIFTY 60950 PE,Survivor,18/02/2026 09:45,18/02/2026 09:50,30,1,197.6,39.52,296.4,153.96,5928.0,4618.8,1309.2,253754.8,Closed,22.1,60949.54,-0.3373,TARGET_HIT
16,SENSEX 83500 CE,CPR,18/02/2026 09:45,20/02/2026 10:03,20,1,442.65,796.77,177.06,93.79,8853.0,1875.8,-6977.2,246777.6,Closed,-78.8,83500,0.4996,SL_HIT
17,SENSEX 83500 CE,Ghost Zone,18/02/2026 09:45,20/02/2026 10:03,20,1,442.65,575.44,177.06,91.94,8853.0,1838.8,-7014.2,239763.4,Closed,-79.2,83500,0.4996,SL_HIT
18,SENSEX 83005 PE,Survivor,18/02/2026 09:45,18/02/2026 09:50,20,1,244.08,48.82,366.12,203.98,4881.6,4079.6,802.0,240565.4,Closed,16.4,83005.28,-0.3293,TARGET_HIT
19,NIFTY 25700 CE,CPR,18/02/2026 09:50,18/02/2026 12:09,65,1,153.24,275.83,61.3,38.74,9960.6,2518.1,-7442.5,233122.9,Closed,-74.7,25700,0.5328,SL_HIT
20,NIFTY 25581 PE,Survivor,18/02/2026 09:50,18/02/2026 09:56,65,1,78.62,15.72,117.93,73.54,5110.3,4780.1,330.2,233453.1,Closed,6.5,25581.24,-0.3364,TARGET_HIT
21,BANKNIFTY 60912 PE,Survivor,18/02/2026 09:50,18/02/2026 09:56,30,1,197.87,39.57,296.81,154.91,5936.1,4647.3,1288.8,234741.9,Closed,21.7,60911.98,-0.3394,TARGET_HIT
22,SENSEX 82980 PE,Survivor,18/02/2026 09:50,18/02/2026 09:56,20,1,246.08,49.22,369.12,230.5,4921.6,4610.0,311.6,235053.5,Closed,6.3,82979.99,-0.3318,TARGET_HIT
23,NIFTY 25700 CE,Ghost Zone,18/02/2026 09:56,20/02/2026 12:37,65,1,132.07,171.69,52.83,38.74,8584.55,2518.1,-6066.45,228987.05,Closed,-70.7,25700,0.4874,SL_HIT
24,NIFTY 25539 PE,Survivor,18/02/2026 09:56,18/02/2026 10:01,65,1,76.59,15.32,114.89,64.23,4978.35,4174.95,803.4,229790.45,Closed,16.1,25538.58,-0.3321,TARGET_HIT
