timestamp,strategy,symbol,signal_type,spot,strike,opt_type,entry_premium,target,sl,quality_score,dte,iv,vix,reason,wall_strike,wall_oi,max_pain,vwap,oi_confirmed,distance_pct
2026-03-09T10:39:42.835293,Max Pain Magnet,NIFTY,BUY_CE,23751.75,23750,CE,217.6,326.4,141.44,60,1,0.4426666666666667,24.28,"Max Pain: MP=24000, Spot=23752 (1.0% below) -> BUY_CE, DTE=1",,,24000.0,,,1.05
2026-03-09T10:42:42.966245,Max Pain Magnet,NIFTY,BUY_CE,23775.7,23800,CE,201.0,301.5,130.65,64,1,0.2574833333333333,24.2,"Max Pain: MP=24000, Spot=23776 (0.9% below) -> BUY_CE, DTE=1",,,24000.0,,,0.94
2026-03-09T10:45:43.040032,Max Pain Magnet,NIFTY,BUY_CE,23775.9,23800,CE,198.9,298.35,129.28,67,1,0.4364,24.21,"Max Pain: MP=23950, Spot=23776 (0.7% below) -> BUY_CE, DTE=1",,,23950.0,,,0.73
2026-03-09T10:48:43.109878,Max Pain Magnet,NIFTY,BUY_CE,23781.7,23800,CE,199.9,299.85,129.94,71,1,0.2574833333333333,24.24,"Max Pain: MP=23950, Spot=23782 (0.7% below) -> BUY_CE, DTE=1",,,23950.0,,,0.71
2026-03-09T10:51:43.181716,Max Pain Magnet,NIFTY,BUY_CE,23758.35,23750,CE,218.85,328.27,142.25,64,1,0.26445,24.26,"Max Pain: MP=23950, Spot=23758 (0.8% below) -> BUY_CE, DTE=1",,,23950.0,,,0.81
2026-03-09T10:54:43.285717,Max Pain Magnet,NIFTY,BUY_CE,23779.4,23800,CE,196.8,295.2,127.92,71,1,0.2574833333333333,24.12,"Max Pain: MP=23950, Spot=23779 (0.7% below) -> BUY_CE, DTE=1",,,23950.0,,,0.72
2026-03-09T10:57:43.356004,Max Pain Magnet,NIFTY,BUY_CE,23851.7,23850,CE,221.35,332.02,143.88,71,1,0.2502333333333333,23.81,"Max Pain: MP=24000, Spot=23852 (0.6% below) -> BUY_CE, DTE=1",,,24000.0,,,0.62
2026-03-09T11:00:43.444695,Max Pain Magnet,NIFTY,BUY_CE,23872.3,23850,CE,229.05,343.58,148.88,71,1,0.2502333333333333,23.6,"Max Pain: MP=24000, Spot=23872 (0.5% below) -> BUY_CE, DTE=1",,,24000.0,,,0.53
2026-03-09T11:00:43.444708,Max Pain Magnet,SENSEX,BUY_CE,77106.51,77100,CE,1024.05,1433.67,665.63,55,3,0.3609909916982421,23.6,"Max Pain: MP=78000, Spot=77107 (1.2% below) -> BUY_CE, DTE=3",,,78000.0,,,1.16
2026-03-09T11:03:43.521879,Max Pain Magnet,NIFTY,BUY_CE,23865.1,23850,CE,214.0,321.0,139.1,71,1,0.2502333333333333,23.77,"Max Pain: MP=24000, Spot=23865 (0.6% below) -> BUY_CE, DTE=1",,,24000.0,,,0.57
