timestamp,strategy,symbol,type,strike,premium,spot,dte,delta,gamma,theta,vega,iv,volume,oi,pcr,vwap,target,sl,quality_score,reason,executed,gap_direction,gap_pct,gap_bias,ltp_source,signal_strength,strength_label,ml_cpr_width_pct,ml_body_atr_ratio,ml_pcr_shift,ml_efficiency_ratio,ml_gamma,ml_delta,ml_theta_burden,ml_vix_level,ml_regime_score,ml_oi_change_15m,ml_iv_rank,ml_hold_score,ml_strategy_id,ml_gamma_blast_strength
2026-03-23T09:15:35.594562,CPR,NIFTY,BUY_PE_CPR,22850.0,289.2,22838.35,4,-0.4918240743781739,0.0007153288692608,-29.8393163604233,9.536019664952445,0.233219473131803,0,0,0.9501159670498232,23275.33,433.8,144.6,0.0,Narrow CPR (0.265%) bearish breakout below BC=23206 [LIVE],False,FLAT,0.12,NEUTRAL,UNKNOWN,34,WEAK,0.2649851824612256,0.0696892237319966,0,0.5,0.0007153288692608,0.4918240743781739,119.3572654416932,21.0851,0.241813534239198,0,46.64389462636061,82.23010856738775,0,4.985071361187255e-05
2026-03-23T09:15:35.611228,CPR,BANKNIFTY,BUY_PE_CPR,52400.0,1045.45,52358.45,4,-0.4954557361449588,0.0002676370567445,-79.04969235414877,21.86513859836668,0.271935120048167,0,0,0.9245513601711844,53904.32000000001,1463.63,522.725,0.0,Moderate CPR (0.515%) bearish breakout below BC=53840 [LIVE],False,FLAT,0.12,NEUTRAL,UNKNOWN,31,WEAK,0.5152820528178196,0.005155884321274,0,0.5,0.0002676370567445,0.4954557361449588,316.1987694165951,21.0851,0.2030935305927644,0,54.38702400963341,97.5200755560946,0,1.3799057046609113e-06
2026-03-23T09:15:36.614634,CPR,SENSEX,BUY_PE_CPR,73200.0,944.85,73179.48,4,-0.4880918928417095,0.0002212651980061,-96.3177798708266,30.54846679718229,0.2352504930782622,0,0,0.939146841763733,74990.53600000001,1417.275,135.16364259597808,0.0,Narrow CPR (0.271%) bearish breakout below BC=74836 [LIVE],False,FLAT,0.12,NEUTRAL,UNKNOWN,31,WEAK,0.2708018931042597,0.003422576164613,0,0.5,0.0002212651980061,0.4880918928417095,385.2711194833065,21.0851,0.2020535456987678,0,47.05009861565245,89.6972757937061,0,7.572969927542477e-07
2026-03-23T09:15:42.764997,CPR,NIFTY,BUY_PE_CPR,22850.0,289.2,22694.9,4,-0.5938984770882338,0.0006999647934213,-29.31541754989959,9.214349484333438,0.233219473131803,0,0,0.9501159670498232,23275.33,433.8,144.6,0.0,Narrow CPR (0.265%) bearish breakout below BC=23206 [LIVE],False,FLAT,0.12,NEUTRAL,UNKNOWN,34,WEAK,0.2649851824612256,0.3806224494371936,0,0.5,0.0006999647934213,0.5938984770882338,117.26167019959836,21.0851,0.4283734696623161,0,46.64389462636061,82.74986891328007,0,0.0002664223141918
2026-03-23T09:15:42.779140,CPR,BANKNIFTY,BUY_PE_CPR,52400.0,1045.45,52241.05,4,-0.5268931474196797,0.0002676461707394,-79.01208012867718,21.767936177958827,0.271935120048167,0,0,0.9245513601711844,53904.32000000001,1463.63,522.725,0.0,Moderate CPR (0.515%) bearish breakout below BC=53840 [LIVE],False,FLAT,0.12,NEUTRAL,UNKNOWN,31,WEAK,0.5152820528178196,0.1250163348869625,0,0.5,0.0002676461707394,0.5268931474196797,316.04832051470873,21.0851,0.2750098009321775,0,54.38702400963341,97.73922997336383,0,3.3460143312376704e-05
2026-03-23T09:15:43.765521,CPR,SENSEX,BUY_PE_CPR,73200.0,944.85,73156.73,4,-0.4931272738407498,0.000221399799521,-96.38215862218176,30.548047859121777,0.2352504930782622,0,0,0.939146841763733,74990.53600000001,1417.275,135.16364259597808,0.0,Narrow CPR (0.271%) bearish breakout below BC=74836 [LIVE],False,FLAT,0.12,NEUTRAL,UNKNOWN,31,WEAK,0.2708018931042597,0.0251721872665432,0,0.5,0.000221399799521,0.4931272738407498,385.528634488727,21.0851,0.2151033123599259,0,47.05009861565245,89.72516950935342,0,5.573117214317824e-06
2026-03-23T09:15:49.895131,CPR,NIFTY,BUY_PE_CPR,22850.0,289.2,22690.95,4,-0.5966612147407285,0.0006988840358948,-29.275771521736548,9.196920126753076,0.233219473131803,0,0,0.9501159670498232,23275.33,433.8,144.6,0.0,Narrow CPR (0.265%) bearish breakout below BC=23206 [LIVE],False,FLAT,0.12,NEUTRAL,UNKNOWN,34,WEAK,0.2649851824612256,0.3930221086147375,0,0.5,0.0006988840358948,0.5966612147407285,117.1030860869462,21.0851,0.4358132651688425,0,46.64389462636061,82.76427386248702,0,0.0002746768774645
2026-03-23T09:15:49.908960,CPR,BANKNIFTY,BUY_PE_CPR,52400.0,1045.45,52220.4,4,-0.532418367046547,0.0002674754650366,-78.95783123271787,21.73685789286666,0.271935120048167,0,0,0.9245513601711844,53904.32000000001,1463.63,522.725,0.0,Moderate CPR (0.515%) bearish breakout below BC=53840 [LIVE],False,FLAT,0.12,NEUTRAL,UNKNOWN,31,WEAK,0.5152820528178196,0.1479128964427581,0,0.5,0.0002674754650366,0.532418367046547,315.83132493087146,21.0851,0.2887477378656549,0,54.38702400963341,97.77787990900106,0,3.956307076094974e-05
2026-03-23T09:15:50.925110,CPR,SENSEX,BUY_PE_CPR,73200.0,944.85,73168.24,4,-0.4905793201357478,0.0002213360940434,-96.35137448405251,30.548868426735336,0.2352504930782622,0,0,0.939146841763733,74990.53600000001,1417.275,135.16364259597808,0.0,Narrow CPR (0.271%) bearish breakout below BC=74836 [LIVE],False,FLAT,0.12,NEUTRAL,UNKNOWN,31,WEAK,0.2708018931042597,0.0141683180892501,0,0.5,0.0002213360940434,0.4905793201357478,385.4054979362101,21.0851,0.2085009908535501,0,47.05009861565245,89.71105496045826,0,3.1359601850403065e-06
2026-03-23T09:15:57.041141,CPR,NIFTY,BUY_PE_CPR,22850.0,289.2,22681.25,4,-0.6034269846382828,0.000696086083272,-29.172941347282485,9.152270742335247,0.233219473131803,0,0,0.9501159670498232,23275.33,433.8,144.6,0.0,Narrow CPR (0.265%) bearish breakout below BC=23206 [LIVE],False,FLAT,0.12,NEUTRAL,UNKNOWN,34,WEAK,0.2649851824612256,0.4234719045697153,0,0.5,0.000696086083272,0.6034269846382828,116.69176538912994,21.0851,0.4540831427418291,0,46.64389462636061,82.79966933039404,0,0.0002947728994276
