name,score,annual_ret,avg_pnl,max_dd,sharpe,allocation_pct,allocation_amount
Survivor (Raahi Bhushan),11.170001000000001,257.1,36546255.0,15.0,2.84,47.66184024811424,142985.5207443427
Gamma Blast (All Days),6.107616800000001,145.5,4063334.0,1.4,4.42,31.044288773389265,93132.8663201678
CPR (Gomathi Shankar),1.3762508,53.9,378504.0,20.1,2.01,6.995318904062218,20985.956712186653
PCR+VWAP (CA Nitin Muraka),0.05,0.0,0.0,0.0,0.0,4.766184024811424,14298.552074434272
Ghost Trade Zone (GTZ),0.05,0.0,0.0,0.0,0.0,4.766184024811424,14298.552074434272
Wave Extractor (Raahi Bhushan),0.0,0.0,-941231.0,1325.6,0.01,4.766184024811424,14298.552074434272
