date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,theta,iv,dte,pcr
2020-11-19,BUY_CE,12750,12771.7,59.69767304208017,41.78837112945612,-495.67876872862735,0.5828523368230013,0.0033284447374022914,-22.884571858832736,17.541367281791352,1,1.0589207629269048
2020-11-25,BUY_CE,12850,12858.4,68.29464524359446,47.80625167051612,-560.2635223925035,0.5358788811554489,0.0025723621185977925,-15.342842387058178,16.2278639296603,2,1.210383489557452
2020-11-26,BUY_CE,13000,12987.0,37.78065926666386,26.446461486664703,-331.02720274081224,0.4620787619303812,0.003693635897527376,-21.350113450183606,15.81705562370613,1,1.2619166283863625
2020-12-22,BUY_PE,13450,13466.3,79.0635004926271,158.1270009852542,1928.3992185595196,-0.45535634500838196,0.0017495322373773077,-14.972197570148266,18.560725363668677,3,0.9082915881823171
2021-01-04,BUY_CE,14150,14132.9,95.66958946549221,81.18062277802528,-410.6200370549918,0.4922312989599771,0.0016053959168657373,-12.387489008101598,16.793093577965614,4,1.7709454017698585
2021-01-06,BUY_CE,14150,14146.25,71.43334693358338,107.15002040037507,844.8239198331224,0.5053996725794837,0.002248038836298795,-17.696067450969906,16.945585490280152,2,1.6953593528023363
2021-01-13,BUY_CE,14550,14564.85,85.5028675012627,128.25430125189405,1020.517057922018,0.5449551815121205,0.002105366157827605,-18.659255363774278,17.46380000055844,2,1.5433371322917098
2021-01-21,BUY_CE,14600,14590.35,37.60911170293821,75.21822340587642,892.5576786771685,0.47408179196586114,0.003870984302521521,-20.470718816653136,13.466401579360529,1,1.4701206681421986
2021-01-25,BUY_PE,14250,14238.9,92.4124075790769,81.38216371121689,-324.11125179123866,-0.49842142766487085,0.0017311906706970746,-11.491545522806065,15.459724826312849,4,0.9122301391047352
2021-02-18,BUY_PE,15100,15118.95,75.66977292191132,75.66977292191132,-48.1458721615239,-0.4572153490129124,0.001837445125912889,-42.81159989112191,27.278051139291566,1,0.6346581856319515
2021-02-19,BUY_PE,15000,14981.75,94.24583457180961,94.24583457180961,-48.37807293214762,-0.5258585641164463,0.001842713155793925,-43.003639968038826,27.55006480225824,1,0.6146326680213153
2021-03-05,BUY_PE,14950,14938.1,85.16308119839687,59.614156838877804,-686.9876475029566,-0.515576831625,0.001977157434719506,-40.187079764645,25.786278330146885,1,0.5991605584584743
2021-03-09,BUY_PE,15100,15098.4,136.23185993218067,204.347789898271,1653.995350903106,-0.4880041544157041,0.001140596754392585,-23.235068814561195,25.540913071878467,3,0.6622549288739176
2021-03-19,BUY_PE,14750,14744.0,84.26614885466915,58.98630419826841,-680.249443270702,-0.5037027612824139,0.0019276738948992905,-41.278048447075506,26.815685472072197,1,0.8196447326346629
2021-03-30,BUY_CE,14850,14845.1,124.85987504014065,100.90898128820936,-647.533092236284,0.5080658084414063,0.0012899755174373792,-20.554639488375063,22.9743112608696,3,1.4505873505726816
2021-04-12,BUY_PE,14300,14310.8,139.91039625369285,121.05133450160065,-520.4254237554762,-0.4725333617330546,0.001056523790902589,-18.74083724158406,25.145042370069238,4,0.6776038339334491
2021-04-15,BUY_CE,14600,14581.45,71.15232041092531,49.806624287647715,-581.7318070870765,0.47054384674270766,0.0020134995322747943,-39.30670569785352,25.889178749622072,1,1.0637656603497132
2021-04-16,BUY_CE,14600,14617.85,89.74631927406881,89.74631927406881,-48.321828990925866,0.5437649277828037,0.0019985108803193567,-39.34014663297285,25.93239676296026,1,1.1859857040812756
2021-05-11,BUY_CE,14850,14850.75,128.47271705179355,104.37120808111104,-651.3436332302103,0.5153102092555989,0.001281299447529944,-20.671800340388018,23.10877235151935,3,2.7891294869931698
2021-05-24,BUY_CE,15200,15197.7,120.34910972126363,103.43676453911394,-471.5129934252581,0.5155053806894344,0.001370140380518664,-14.498020518697894,18.28754402949797,4,1.3458540355526112
2021-06-18,BUY_CE,15700,15683.35,20.581306308983585,14.406914416288508,-201.8170636462392,0.4195739915775796,0.0057890801078847795,-13.191271435753775,8.223584215913773,1,1.223696021410628
2021-07-06,BUY_CE,15800,15818.25,61.58558193980025,92.37837290970037,721.8499544732556,0.590981022034607,0.003292144780483391,-7.641910370615794,8.22933044821464,3,1.1332148637070416
2021-07-27,BUY_PE,15750,15746.45,57.9101872004685,40.53713104032795,-482.2502813435196,-0.48525715646889955,0.0026367255180413957,-10.04640288679738,10.591356969445137,3,0.8044332041152764
2021-07-28,BUY_PE,15700,15709.4,41.5413969733745,83.082793946749,990.8156568721954,-0.44956412615513286,0.003242371231730138,-12.075880985844439,10.496146298063836,2,0.8156334928002871
2021-07-29,BUY_CE,15800,15778.45,26.465875929392496,39.698813894088744,283.2926256682888,0.4166228235868019,0.0044451764335916855,-17.125765126533715,10.628637181814,1,1.040921580522894
2021-07-30,BUY_PE,15750,15763.05,27.429166350664673,19.20041644546527,-253.26161220936842,-0.42676740114331135,0.004496082677300407,-17.106245191223373,10.572589709901905,1,0.9782378893754031
2021-08-20,BUY_CE,16450,16450.5,35.75275718486046,25.02693002940232,-315.79258835126416,0.5170757129264039,0.00467478200599961,-16.99153585871871,9.901886954307319,1,1.3522434821528477
2021-09-15,BUY_CE,17500,17519.45,63.09466750685897,47.22771821931565,-444.6624155324188,0.5838698442606505,0.0031613810732436217,-12.033737145406734,9.514868666690456,2,1.430024445608521
2021-09-16,BUY_CE,17650,17629.5,27.423697167612772,27.423697167612772,-47.54279621459516,0.42350430184818466,0.0044117129472750006,-17.378667607134446,9.618914176277437,1,1.5199057097957045
