date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,theta,iv,dte
2020-10-12,SELL_PE,40393.8,40593.8,284.5190736556415,497.798609118734,-2183.1961942095513,-0.4024174775194931,0.00039650066926676174,-47.20304686135864,22.964911504946954,4
2020-10-12,SELL_PE,40393.8,40593.8,284.5190736556415,497.798609118734,-2183.1961942095513,-0.4024174775194931,0.00039650066926676174,-47.20304686135864,22.964911504946954,4
2020-10-12,SELL_PE,40393.8,40593.8,284.5190736556415,497.798609118734,-2183.1961942095513,-0.4024174775194931,0.00039650066926676174,-47.20304686135864,22.964911504946954,4
2020-10-14,SELL_PE,40724.74,40794.74,234.1832602125578,592.1124217533215,-2358.932015105269,-0.44776619940515683,0.0005745009933787053,-68.07402780873895,22.798306729791832,2
2020-10-14,SELL_PE,40724.74,40794.74,234.1832602125578,592.1124217533215,-2358.932015105269,-0.44776619940515683,0.0005745009933787053,-68.07402780873895,22.798306729791832,2
2020-10-14,SELL_CE,40864.74,40794.74,248.0027174149509,346.9629792386295,-675.7352217250077,0.47128220293536005,0.0005779730294630074,-68.48543785620586,22.798306729791832,2
2020-10-14,SELL_CE,40864.74,40794.74,248.0027174149509,346.9629792386295,-675.7352217250077,0.47128220293536005,0.0005779730294630074,-68.48543785620586,22.798306729791832,2
2020-10-19,SELL_PE,40231.6,40431.6,325.5571462709486,559.5774081475975,-2391.065136662037,-0.4108417824006597,0.00035960650929654146,-52.58260392094992,25.55334592914347,4
2020-10-20,SELL_PE,40424.37,40544.37,278.4697524463554,491.4128270597903,-2179.7635308493705,-0.4307100953252373,0.00045400573546336897,-56.67259108470609,23.544351804333168,3
2020-10-21,SELL_PE,40637.31,40707.31,236.67188618980435,624.0343543094386,-2550.2667059453856,-0.44818403892576164,0.0005694049982701991,-68.70224869705348,23.054932982413366,2
2020-10-21,SELL_CE,40777.31,40707.31,250.478585159457,452.4831926134211,-1345.5415731047456,0.4715907059014247,0.000572798925145017,-69.11174704870426,23.054932982413366,2
2020-10-26,SELL_CE,40345.5,40145.5,224.76720131035108,633.4231234199251,-4136.287852110481,0.4143872441804649,0.0005146764821928492,-36.88773709040337,18.017660680349998,4
2020-10-28,SELL_PE,39852.46,39922.46,183.22748642519218,304.57663135828625,-820.7892930595957,-0.4373248735302887,0.0007047680838764776,-55.068818900597655,18.91794255659982,2
2020-10-28,SELL_CE,39992.46,39922.46,196.41553743003897,589.2466122901169,-2585.518275207964,0.4630849753296685,0.0007105353925520314,-55.519462004710725,18.91794255659982,2
2020-11-03,SELL_PE,40141.13,40261.13,193.2215392737089,420.4670764669281,-2321.829114249021,-0.4102426625731497,0.0006006245684512384,-41.94716751152729,17.734757065289696,3
2020-11-04,SELL_PE,40546.14,40616.14,173.8961775696298,521.6885327088894,-2292.6019242036655,-0.4347079842063766,0.000734807618831659,-52.704609856592455,17.815592022820066,2
2020-11-09,SELL_PE,42397.43,42597.43,256.7089043009328,525.4577269942965,-2737.576202107023,-0.3952742252746406,0.0004254250253831912,-43.578358583976396,20.300276323852255,4
2020-11-10,SELL_PE,43157.65,43277.65,261.6916979037269,698.6864665720386,-4420.091718284534,-0.42725459073303496,0.00047595276252794804,-53.88927835517813,21.00714425579368,3
2020-11-11,SELL_PE,43523.67,43593.67,230.39319318098205,666.2492738101901,-2865.429274314988,-0.44683493237632066,0.0005814904163254649,-67.21383555652672,21.071529311411965,2
2020-11-17,SELL_PE,43832.71,43952.71,204.83811728832006,404.7238791645759,-2048.362047582052,-0.4132395798555959,0.0005734265335100946,-44.087974555943944,17.044997968292677,3
2020-11-18,SELL_PE,44110.05,44180.05,182.01722610348952,452.96602370871915,-1793.1781853998746,-0.4363778205557488,0.0007063040546897774,-54.90708170262694,17.051145415036395,2
2020-11-23,SELL_PE,43877.15,44077.15,204.79855303926524,453.47402089793104,-2536.25866230835,-0.3784392761102422,0.0004934259925701912,-36.634038160701785,16.70241651026177,4
2020-11-24,SELL_PE,44403.02,44523.02,203.3644305724265,415.2696983795904,-2168.540527915579,-0.41269587300085653,0.0005761951600367037,-43.84919464066794,16.740669513107388,3
2020-11-25,SELL_PE,43758.1,43828.1,178.54718965638676,259.19370416091624,-556.1879706038039,-0.43549971584344505,0.0007175642806287456,-54.00660576939218,16.912266825156312,2
2020-11-25,SELL_CE,43898.1,43828.1,192.91705332888887,578.7511599866666,-2540.012399228023,0.4630444810328005,0.000723966285272503,-54.48844488856665,16.912266825156312,2
2020-12-01,SELL_PE,44535.44,44655.44,202.63362409153706,575.9760985704415,-3782.9043730600747,-0.41244985274342005,0.0005776572219555002,-43.72600054515043,16.646457694923296,3
2020-12-07,SELL_PE,45226.97,45426.97,190.88114215913447,474.76159554404876,-2888.151946698433,-0.3726419450975802,0.0005149444788785699,-34.76447898590034,15.453801138283966,4
2020-12-08,SELL_PE,45488.51,45608.51,173.12445243599723,374.89524670401806,-2066.855592770113,-0.402039621818303,0.0006464616596055713,-38.58334714494776,14.472518370775505,3
