name,score,annual_ret,max_dd,sharpe,allocation_pct,allocation_amount
PCR+VWAP (CA Nitin Muraka),480.1240000000001,27.1,0.0,7.91,49.777059946229485,149331.17983868846
Ghost Trade Zone (GTZ),166.778,7.8,0.0,0.31,31.556542573934454,94669.62772180335
Survivor (Raahi Bhushan),9.379,114.9,4.1,5.0,6.222132493278686,18666.397479836058
CPR (Gomathi Shankar),1.405,9.3,3.4,0.87,6.222132493278686,18666.397479836058
Wave Extractor (Raahi Bhushan),0.0,0.0,152.6,-0.31,6.222132493278686,18666.397479836058
