entry_date,exit_date,trade_type,entry_spot,exit_spot,strike,entry_premium,exit_premium,quantity,pnl,strategy
2021-04-22 03:45:00,2021-04-23 03:45:00,BUY_PE,48080.671875,47878.44921875,48100,261.28,289.65,20,487.36,VWAP Bounce
2021-06-08 03:45:00,2021-06-09 03:45:00,BUY_CE,52275.5703125,51941.640625,52300,274.21,96.56,20,-3633.01,VWAP Bounce
2021-06-10 03:45:00,2021-06-11 03:45:00,BUY_CE,52300.46875,52474.76171875,52300,151.36,204.35,20,979.84,VWAP Bounce
2021-06-16 03:45:00,2021-06-18 03:45:00,BUY_PE,52501.98046875,52344.44921875,52500,164.8,156.78,20,-240.35,VWAP Bounce
2021-06-21 03:45:00,2021-06-23 03:45:00,BUY_CE,52574.4609375,52306.078125,52600,186.61,38.65,20,-3039.17,VWAP Bounce
2021-06-23 03:45:00,2021-06-24 03:45:00,BUY_PE,52306.078125,52699.0,52300,116.92,5.33,20,-2311.74,VWAP Bounce
2021-06-28 03:45:00,2021-06-29 03:45:00,BUY_CE,52735.58984375,52549.66015625,52700,215.08,105.32,20,-2275.28,VWAP Bounce
2021-06-29 03:45:00,2021-07-01 03:45:00,BUY_PE,52549.66015625,52318.6015625,52500,119.73,188.17,20,1288.8,VWAP Bounce
2021-07-22 03:45:00,2021-07-23 03:45:00,BUY_CE,52837.2109375,52975.80078125,52800,145.74,191.76,20,840.4,VWAP Bounce
2021-07-26 03:45:00,2021-07-27 03:45:00,BUY_CE,52852.26953125,52578.76171875,52900,226.95,93.61,20,-2746.81,VWAP Bounce
2021-07-29 03:45:00,2021-07-30 03:45:00,BUY_PE,52653.0703125,52586.83984375,52700,137.3,138.5,20,-56.05,VWAP Bounce
2021-08-09 03:45:00,2021-08-12 03:45:00,BUY_CE,54402.8515625,54843.98046875,54400,296.75,447.27,20,2930.35,VWAP Bounce
2021-09-08 03:45:00,2021-09-13 03:45:00,BUY_CE,58250.26171875,58177.76171875,58300,149.5,38.96,20,-2290.72,VWAP Bounce
2021-09-13 03:45:00,2021-09-14 03:45:00,BUY_PE,58177.76171875,58247.08984375,58200,224.21,156.48,20,-1434.64,VWAP Bounce
2021-09-14 03:45:00,2021-09-15 03:45:00,BUY_CE,58247.08984375,58723.19921875,58200,231.79,535.1,20,5986.17,VWAP Bounce
2021-09-21 03:45:00,2021-09-22 03:45:00,BUY_CE,59005.26953125,58927.328125,59000,239.18,157.09,20,-1721.73,VWAP Bounce
2021-09-22 03:45:00,2021-09-23 03:45:00,BUY_PE,58927.328125,59885.359375,58900,156.11,0.48,20,-3192.55,VWAP Bounce
2021-10-06 03:45:00,2021-10-07 03:45:00,BUY_PE,59189.73046875,59677.828125,59200,213.42,24.43,20,-3859.75,VWAP Bounce
2021-10-20 03:45:00,2021-10-21 03:45:00,BUY_PE,61259.9609375,60923.5,61300,239.1,387.31,20,2884.12,VWAP Bounce
2021-10-26 03:45:00,2021-10-27 03:45:00,BUY_CE,61350.26171875,61143.328125,61400,250.73,113.42,20,-2826.17,VWAP Bounce
2021-10-27 03:45:00,2021-10-28 03:45:00,BUY_CE,61143.328125,59984.69921875,61100,238.93,1.28,20,-4833.07,VWAP Bounce
2021-11-03 03:45:00,2021-11-04 12:45:00,BUY_PE,59771.921875,60067.62109375,59800,265.57,78.58,20,-3819.85,VWAP Bounce
