date,type,strike,spot_entry,spot_exit,entry_prem,exit_prem,pnl
2021-06-21,BUY_CE,34100,34127.1,34871.3,321.343759205909,823.8548953083628,14576.637542032762
2021-09-07,BUY_CE,36100,36060.175,36468.8,195.09459553423585,421.63451979357706,6455.285161276537
2021-09-23,BUY_CE,37300,37313.95,37771.7,565.9523685778695,799.4455469149289,6218.2919898351165
2021-11-01,BUY_CE,39000,39024.025,39763.75,446.1978210662164,889.6646933185075,12657.19540396656
2021-12-02,BUY_CE,36100,36060.175,36560.175,731.0893661870832,962.2970719668447,5950.604506788636
2022-02-15,BUY_CE,37100,37102.2,38170.1,361.6423357643871,1100.2044912584097,21605.62426603039
2022-08-30,BUY_CE,38400,38410.375,39536.75,257.7919493552363,1144.4925401670043,26174.072529570156
2023-01-30,BUY_CE,39600,39560.7,40060.7,376.5244809146898,634.3547696008427,7175.496000076909
2023-02-01,BUY_PE,42100,42136.675,39596.421250000014,223.05698630097686,2501.704476661849,67955.5846964944
2023-08-23,BUY_CE,43900,43945.025,44445.025,143.32021428766166,547.1548549355066,11836.228250961625
2023-09-04,BUY_CE,44200,44236.825,44578.3,265.66572562804504,463.8124677909873,5520.971845645317
2023-10-31,BUY_PE,43400,43430.375,42845.95,182.1617680313866,565.6529661834502,11178.067865469353
2024-03-11,BUY_PE,47800,47770.925,47270.925,326.77710213797036,611.7362479771473,8050.361882104671
2024-04-19,BUY_CE,46800,46780.125,47574.15,509.4089324043962,981.1417233226457,13430.508875977657
2024-05-13,BUY_CE,47100,47123.875,47623.875,395.38620395652106,670.707073742662,7678.796449112803
2024-05-28,BUY_PE,49600,49612.325,49112.325,215.92302300234223,517.1805932333009,8672.57259480683
2024-06-04,BUY_CE,46200,46242.175,46742.175,417.0430354341879,669.1016239582386,6954.818429084913
2024-10-17,BUY_PE,51900,51852.8,51288.8,744.6327368978418,1007.0756993243049,6873.203422137809
2024-12-23,BUY_CE,50900,50889.875,51389.875,401.24553775927416,663.4837811348916,7279.757573684153
2025-09-25,BUY_PE,55400,55423.8,54923.8,336.1975608023713,597.514766305947,7330.666255059996
2025-12-05,BUY_CE,59200,59169.0,59777.2,445.1204361579548,792.8309473330737,9791.003393114337
2025-12-08,BUY_PE,59800,59820.95,59320.95,277.3869807821102,555.4465793464697,7903.9086144993935
2026-02-01,BUY_CE,57900,57890.8,58390.8,577.3757243699802,817.9283841147262,6418.546752528989
2026-02-20,BUY_CE,60400,60436.2,61172.0,741.960639008641,1141.3845744031132,10985.060401598996
