entry_date,exit_date,trade_type,entry_spot,exit_spot,strike,entry_premium,exit_premium,quantity,pnl,strategy
2021-04-01 03:45:00,2021-04-05 03:45:00,BUY_CE,14867.349609375,14637.7998046875,14850,59.54,2.05,75,-4501.76,Max Pain Magnet
2021-04-05 03:45:00,2021-04-06 03:45:00,BUY_PE,14637.7998046875,14683.5,14650,115.51,74.91,75,-3235.12,Max Pain Magnet
2021-04-08 03:45:00,2021-04-09 03:45:00,BUY_CE,14873.7998046875,14834.849609375,14850,60.4,39.86,75,-1730.61,Max Pain Magnet
2021-04-15 03:45:00,2021-04-16 03:45:00,BUY_PE,14581.4501953125,14617.849609375,14600,64.82,47.67,75,-1476.43,Max Pain Magnet
2021-04-19 03:45:00,2021-04-20 03:45:00,BUY_CE,14359.4501953125,14296.400390625,14350,145.82,89.58,75,-4408.25,Max Pain Magnet
2021-04-22 03:45:00,2021-04-23 03:45:00,BUY_CE,14406.150390625,14341.349609375,14400,58.51,31.88,75,-2186.9,Max Pain Magnet
2021-04-28 03:45:00,2021-04-29 03:45:00,BUY_CE,14864.5498046875,14894.900390625,14850,86.78,74.74,75,-1093.13,Max Pain Magnet
2021-04-29 03:45:00,2021-04-30 03:45:00,BUY_CE,14894.900390625,14631.099609375,14900,52.41,1.31,75,-4022.75,Max Pain Magnet
2021-05-03 03:45:00,2021-05-05 03:45:00,BUY_PE,14634.150390625,14617.849609375,14650,129.19,78.68,75,-3978.44,Max Pain Magnet
2021-05-05 03:45:00,2021-05-06 03:45:00,BUY_PE,14617.849609375,14724.7998046875,14600,59.75,11.19,75,-3832.07,Max Pain Magnet
2021-05-10 03:45:00,2021-05-11 03:45:00,BUY_CE,14942.349609375,14850.75,14950,124.39,63.64,75,-4746.07,Max Pain Magnet
2021-05-17 03:45:00,2021-05-18 03:45:00,BUY_CE,14923.150390625,15108.099609375,14900,114.78,218.6,75,7596.61,Max Pain Magnet
2021-05-18 03:45:00,2021-05-20 03:45:00,BUY_PE,15108.099609375,14906.0498046875,15100,77.35,185.49,75,7920.8,Max Pain Magnet
2021-05-20 03:45:00,2021-05-21 03:45:00,BUY_CE,14906.0498046875,15175.2998046875,14900,42.28,265.63,75,16561.07,Max Pain Magnet
2021-05-28 03:45:00,2021-06-02 03:45:00,BUY_CE,15435.650390625,15576.2001953125,15450,135.5,129.89,75,-611.03,Max Pain Magnet
2021-06-02 03:45:00,2021-06-03 03:45:00,BUY_PE,15576.2001953125,15690.349609375,15600,57.3,5.97,75,-4039.61,Max Pain Magnet
