date,symbol,type,strike,entry,exit,spot_entry,pcr,vwap,gross_pnl,costs,net_pnl,version,tolerance,has_oi,position_scale
2020-11-13,NIFTY50,BUY_CE,12700,46.91101112405704,74.63876804744582,12627.052534536444,5.413418292979176,12627.052534536444,1778.6,57.87,1720.73,V1,,,
2020-11-19,NIFTY50,BUY_PE,12750,48.98424160599734,65.44461200275776,12818.356275305478,0.7726778057078004,12818.356275305478,1047.61,58.34,989.27,V1,,,
2020-11-27,NIFTY50,BUY_CE,12950,77.1546456339729,117.37918709806794,12949.958155079494,1.0715316070007346,12949.958155079494,2576.66,64.75,2511.91,V1,,,
2020-12-02,NIFTY50,BUY_CE,13100,32.416751639008,54.52452791797972,12985.49485287802,1.1276994883078237,12985.49485287802,1420.05,54.57,1365.48,V1,,,
2020-12-10,NIFTY50,BUY_CE,13500,21.52705483155978,39.90474744060026,13370.465628425254,1.4956278232701232,13370.465628425254,1182.57,52.1,1130.47,V1,,,
2020-12-11,NIFTY50,BUY_CE,13500,38.80721540098784,67.87763188273821,13434.998381509871,1.5432153515209532,13434.998381509871,1868.77,56.03,1812.74,V1,,,
2020-12-14,NIFTY50,BUY_CE,13550,36.8980285935686,64.97780959319564,13479.021498632545,1.7468715977158076,13479.021498632545,1805.32,55.59,1749.73,V1,,,
2020-12-18,NIFTY50,BUY_CE,13750,16.215948735213715,33.22575234847146,13628.594973553378,4.022952140905202,13628.594973553378,1096.0,50.89,1045.11,V1,,,
2020-12-22,NIFTY50,BUY_PE,13450,74.82366603080118,110.30385907764051,13475.783462251731,0.42349994042724104,13475.783462251731,2270.11,64.22,2205.89,V1,,,
2021-01-04,NIFTY50,BUY_CE,14150,32.02603885486997,53.265139290278995,13998.261303390382,1017826.2401524202,13998.261303390382,1363.91,54.49,1309.42,V1,,,
2021-01-05,NIFTY50,BUY_CE,14200,32.925208646892315,54.71075895066252,14052.055119147757,1277790.2594371513,14052.055119147757,1398.97,54.69,1344.28,V1,,,
2021-01-06,NIFTY50,BUY_CE,14150,65.99246064586896,101.62469555677387,14097.67647750958,1403147.079769554,14097.67647750958,2283.41,62.21,2221.2,V1,,,
2021-01-07,NIFTY50,BUY_CE,14150,76.67369373236943,116.47807724282022,14124.55644642185,2.4953666898045306,14124.55644642185,2549.62,64.64,2484.98,V1,,,
2021-01-13,NIFTY50,BUY_CE,14550,43.01960795623563,68.93806091073223,14419.898631616092,1.2127964118690555,14419.898631616092,1662.87,56.99,1605.88,V1,,,
2021-01-14,NIFTY50,BUY_CE,14600,48.92283500628491,77.57203196585876,14489.532088543203,1.1876533896489156,14489.532088543203,1837.53,58.33,1779.2,V1,,,
2021-01-18,NIFTY50,BUY_PE,14300,33.634485131484325,53.56405860200578,14474.293523465727,0.8747617277542066,14474.293523465727,1278.42,54.85,1223.57,V1,,,
2021-01-22,NIFTY50,BUY_PE,14350,27.12309634589701,47.40283465777263,14484.191307510893,0.46539575499080227,14484.191307510893,1303.65,53.37,1250.28,V1,,,
2021-01-25,NIFTY50,BUY_PE,14250,12.046229600899778,22.465391922970515,14477.511202700907,0.46307023184787743,14477.511202700907,670.52,49.94,620.58,V1,,,
2021-02-10,NIFTY50,BUY_CE,15100,120.21894539694767,158.80721217876652,15016.730521304666,1.8042377422778626,15016.730521304666,2453.83,74.55,2379.28,V1,,,
2021-02-17,NIFTY50,BUY_PE,15200,123.52024838618672,140.4636494609672,15247.761995354127,0.32515318358238204,15247.761995354127,1049.84,75.3,974.54,V1,,,
2021-02-18,NIFTY50,BUY_PE,15100,91.43689174343581,123.79626603145934,15227.538564205051,0.30005116176889135,15227.538564205051,2061.39,68.0,1993.39,V1,,,
2021-02-19,NIFTY50,BUY_PE,15000,74.67655511176417,102.42027508510341,15179.89459386977,0.08646128090741752,15179.89459386977,1768.81,64.19,1704.62,V1,,,
2021-02-26,NIFTY50,BUY_PE,14550,63.05048470216752,85.28097875478903,14814.681363053503,0.584502952279547,14814.681363053503,1416.06,61.54,1354.51,V1,,,
2021-03-01,NIFTY50,BUY_PE,14750,105.35426743565677,142.36554347039117,14810.455436887756,0.4914143880208333,14810.455436887756,2357.43,71.17,2286.26,V1,,,
