timestamp,strategy,commodity,type,strike,premium,spot,reason
2026-02-23T11:51:59.427902,CPR,GOLDM,BUY_CE_CPR,159900,5695.116929548131,159900.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T11:51:59.427902,CPR,SILVERM,BUY_CE_CPR,267500,9889.247771418532,267325.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T11:51:59.427902,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T11:51:59.427902,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T11:52:49.594241,CPR,GOLDM,BUY_CE_CPR,160000,5684.122700867763,159966.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T11:52:49.594241,CPR,SILVERM,BUY_CE_CPR,267500,9977.618082449831,267496.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T11:52:49.594241,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T11:52:49.594241,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T11:53:36.983744,CPR,GOLDM,BUY_CE_CPR,159900,5712.018684962402,159930.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T11:53:36.983744,CPR,SILVERM,BUY_CE_CPR,267500,9972.95542096294,267487.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T11:53:36.983744,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T11:53:36.983744,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T11:54:22.776994,CPR,GOLDM,BUY_CE_CPR,159900,5672.067143567848,159859.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T11:54:22.776994,CPR,SILVERM,BUY_CE_CPR,266000,9924.248123440062,266001.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T11:54:22.776994,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T11:54:22.776994,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T11:55:09.754266,CPR,GOLDM,BUY_CE_CPR,159900,5686.11511613318,159884.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T11:55:09.754266,CPR,SILVERM,BUY_CE_CPR,266000,9924.248123440062,266001.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T11:55:09.754266,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T11:55:09.754266,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T11:55:59.998598,CPR,GOLDM,BUY_CE_CPR,159900,5679.93139905628,159873.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T11:55:59.998598,CPR,SILVERM,BUY_CE_CPR,266000,9924.248123440062,266001.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T11:55:59.998598,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T11:55:59.998598,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T11:56:54.617586,CPR,GOLDM,BUY_CE_CPR,159900,5695.116929548131,159900.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T11:56:54.617586,CPR,SILVERM,BUY_CE_CPR,267000,10056.65705006769,267184.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T11:56:54.617586,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T11:56:54.617586,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T11:57:45.968765,CPR,GOLDM,BUY_CE_CPR,159800,5715.190441749168,159850.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T11:57:45.968765,CPR,SILVERM,BUY_CE_CPR,267000,9972.960172636816,267023.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T11:57:45.968765,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
